"ID";"Periods";"TotalEnergySupplyTPES_1";"IndigenousProductionTotal_2";"IndigenousProductionHardCoal_3";"IndigenousProductionLignite_4";"Imports_5";"Exports_6";"Bunkers_7";"StockChange_8";"PatentFuelOutput_9";"OutputTotal_10";"ManufactureOfCokeOvenProductsOutput_11";"OutputOther_12";"OutputByPublicGasWorksCompanies_13";"DeliveryByEnergyCompanies_14"
"153";"1955JJ00";"18351";"12150";"11895";"255";"7604";"1160";"243";;"1012";"4789";"3901";"888";"417";"678"
"154";"1956JJ00";"19272";"12106";"11836";"270";"8516";"1152";"198";;"1072";"5001";"4237";"764";"392";"733"
"155";"1957JJ00";"19037";"11664";"11376";"288";"8687";"1151";"163";;"1142";"4902";"4244";"658";"361";"718"
"156";"1958JJ00";"17796";"12135";"11880";"255";"7096";"1376";"59";;"1086";"4644";"4081";"563";"354";"751"
"157";"1959JJ00";"16795";"12177";"11978";"199";"6507";"1847";"42";;"1068";"4518";"4083";"435";"319";"776"
"158";"1960JJ00";"17381";"12502";"12498";"4";"7099";"2192";"28";;"1181";"4809";"4517";"292";"287";"815"
"159";"1961JJ00";"17403";"12621";"12621";;"7159";"2377";"0";;"1281";"4787";"4554";"233";"265";"856"
"160";"1962JJ00";"18157";"11573";"11573";;"8923";"2339";"0";;"1369";"4474";"4274";"200";"270";"961"
"161";"1963JJ00";"18884";"11509";"11509";;"9949";"2574";"0";;"1561";"4447";"4270";"177";"283";"998"
"162";"1964JJ00";"18613";"11480";"11480";;"9292";"2159";"0";;"1355";"4623";"4514";"109";"238";"962"
"163";"1965JJ00";"16460";"11446";"11446";;"7107";"2093";"0";;"1349";"4383";"4286";"97";"186";"885"
"164";"1966JJ00";"14881";"10052";"10052";;"6679";"1850";;;"1222";"3887";"3827";"60";"105";"597"
"165";"1967JJ00";"13169";"8065";"8065";;"7039";"1935";;;"1090";"3332";"3314";"18";"29";"254"
"166";"1968JJ00";"12100";"6663";"6663";;"7412";"1975";;;"1053";"2931";"2928";"3";"3";"52"
"167";"1969JJ00";"9702";"5564";"5564";;"5930";"1792";;;"1051";"2032";"2029";"3";"1";"11"
"168";"1970JJ00";"7460";"4334";"4334";;"4773";"1647";;;"886";"1997";"1997";"0";;
"169";"1971JJ00";"4783";"3609";"3609";;"3471";"2305";;"8";"585";"1900";"1900";"0";;
"170";"1972JJ00";"3900";"2811";"2811";;"3367";"2429";;"151";"465";"1994";"1994";"0";;
"171";"1973JJ00";"4588";"1722";"1722";;"4188";"1926";;"604";"250";"2655";"2655";"0";;
"172";"1974JJ00";"4303";"758";"758";;"4637";"1168";;"76";;"2687";"2687";"0";;
"173";"1975JJ00";"4067";;;;"4319";"135";;"-117";;"2638";"2638";"0";;
"174";"1976JJ00";"5117";;;;"5190";"161";;"88";;"2770";"2770";"0";;
"175";"1977JJ00";"5182";;;;"5310";"47";;"-81";;"2462";"2462";"0";;
"176";"1978JJ00";"5505";;;;"5496";"268";;"276";;"2401";"2401";"0";;
"177";"1979JJ00";"5127";;;;"6578";"1298";;"-153";;"2529";"2529";"0";;
"178";"1980JJ00";"6112";;;;"7071";"1260";;"301";;"2455";"2455";"0";;
"179";"1981JJ00";"6328";;;;"7887";"890";;"-1061";;"2242";"2242";"0";;
"180";"1982JJ00";"8282";;;;"8910";"665";;"-1096";;"2428";"2428";"0";;
"181";"1983JJ00";"7986";"112";"112";;"7678";"643";;"951";;"2126";"2126";"0";;
"182";"1984JJ00";"9780";"109";"109";;"10890";"1519";;"409";;"2721";"2720";"1";;
"183";"1985JJ00";"9979";"98";"98";;"11624";"1738";;"93";;"2972";"2958";"14";;
"184";"1986JJ00";"10334";"76";"76";;"12271";"2374";;"437";;"2888";"2877";"11";;
"185";"1987JJ00";"11055";;;;"13145";"1720";;"-370";;"2747";"2736";"11";;
"186";"1988JJ00";"13069";;;;"14867";"1764";;"-35";;"2920";"2908";"12";;
"187";"1989JJ00";"12995";;;;"14132";"1081";;"-57";;"2908";"2898";"10";;
"188";"1990JJ00";"12881";;;;"12880";;;"0";;"2743";"2736";"7";;
"189";"1991JJ00";"12209";;;;"12209";;;"0";;"2937";"2932";"5";;
"190";"1992JJ00";"12267";;;;"12267";;;"0";;"2922";"2918";"4";;
"191";"1993JJ00";"12067";;;;"12070";;;"-3";;"2880";"2876";"4";;
"192";"1994JJ00";"13052";;;;"13052";;;"0";;"2894";"2886";"8";;
"193";"1995JJ00";"14278";;;;"14311";;;"-34";;"2895";"2888";"7";;
"194";"1996JJ00";"14124";;;;"13936";;;"188";;"2921";"2914";"7";;
"195";"1997JJ00";"14158";;;;"14468";;;"-311";;"2905";"2896";"9";;
"196";"1998JJ00";"14505";;;;"14698";;;"-193";;"2837";"2829";"9";;
"197";"1999JJ00";"12074";;;;"11900";;;"173";;"2327";"2318";"9";;
"198";"2000JJ00";"12742";;;;"12619";;;"123";;"2127";"2116";"11";;
"199";"2001JJ00";"13562";;;;"13623";;;"-61";;"2214";"2204";"10";;
"200";"2002JJ00";"13421";;;;"13481";;;"-60";;"2127";"2116";"12";;
"201";"2003JJ00";"13660";;;;"13520";;;"140";;"2154";"2144";"10";;
"202";"2004JJ00";"13541";;;;"13641";;;"-99";;"2216";"2205";"11";;
"203";"2005JJ00";"13006";;;;"13007";;;"-1";;"2249";"2238";"12";;
"204";"2006JJ00";"12652";;;;"12526";;;"126";;"2174";"2162";"12";;
"205";"2007JJ00";"13466";;;;"13586";;;"-121";;"2172";"2163";"9";;
"206";"2008JJ00";"12691";;;;"12672";;;"19";;"2100";"2086";"13";;
"207";"2009JJ00";"11886";;;;"11806";;;"80";;"1690";"1683";"7";;
"208";"2010JJ00";"11890";;;;"12053";;;"-163";;"2030";"2022";"8";;
"209";"2011JJ00";"11703";;;;"11821";;;"-118";;"2015";"2007";"8";;
"210";"2012JJ00";"12811";;;;"12765";;;"46";;"1883";"1879";"5";;
"211";"2013JJ00";"12996";;;;"12925";;;"72";;"1985";"1985";;;
"212";"2014JJ00";"14571";;;;"15006";;;"-435";;"2011";"2011";;;
"213";"2015JJ00";"18020";;;;"17426";;;"594";;"2035";"2035";;;
"214";"2016JJ00";"16522";;;;"16394";;;"128";;"2034";"2034";;;
"215";"2017JJ00";"14735";;;;"14920";;;"-185";;"1964";"1964";;;
"216";"2018JJ00";"13101";;;;"13043";;;"58";;"1986";"1986";;;
"217";"2019JJ00";"10181";;;;"10368";;;"-187";;"1988";"1988";;;
"218";"2020JJ00";"6507";;;;"6048";;;"459";;"1879";"1879";;;
"219";"2021JJ00";"8854";;;;"8729";;;"125";;"1885";"1885";;;
"220";"2022JJ00";"8848";;;;"9066";;;"-218";;"1825";"1825";;;
