Station Code,Distance from RAT,Services from/to RAT,Disruptions on path to RAT
PMW,152,0.0,296
PT,66,0.0,14
RAI,127,0.0,18
RAT,0,0.0,0
RB,247,0.0,524
RD,162,0.0,98
RH,84,0.0,93
RHN,148,0.0,362
RL,87,0.0,92
RLB,168,0.0,482
RM,198,0.0,500
RS,149,0.0,392
RSD,218,0.0,519
RSN,30,0.0,12
RSW,169,0.0,427
RTA,151,0.0,412
RTB,162,0.0,482
RTD,161,0.0,412
RTN,156,0.0,414
RTST,166,0.0,482
RTZ,165,0.0,482
RV,187,0.0,486
RVS,129,0.0,350
SBK,230,0.0,581
SD,97,0.0,268
SDA,151,0.0,88
SDM,165,0.0,482
SDT,170,0.0,401
SDTB,173,0.0,402
SGL,254,0.0,567
SGN,189,0.0,385
SHL,139,0.0,89
SK,135,0.0,31
SKND,134,0.0,31
SM,193,0.0,500
SN,232,0.0,582
SOG,252,0.0,568
SPTN,155,0.0,309
SPTZ,153,0.0,309
SRN,216,0.0,578
SSH,160,0.0,217
ST,98,0.0,268
STD,223,0.0,549
STM,146,0.0,94
STV,164,0.0,39
STZ,99,0.0,258
SWD,135,0.0,82
SWK,60,0.0,64
TB,175,0.0,400
TBG,128,0.0,139
TBR,180,0.0,413
TBU,176,0.0,413
TG,180,0.0,467
TL,138,0.0,367
TPSW,140,0.0,367
TWL,54,0.0,90
UHM,159,0.0,98
UHZ,156,0.0,98
UST,151,0.0,97
UT,105,0.0,254
UTG,152,0.0,331
UTLN,109,0.0,327
UTLR,108,0.0,327
UTO,102,0.0,254
UTT,110,0.0,327
UTVR,106,0.0,327
UTZL,107,0.0,327
VB,162,0.0,412
VD,77,0.0,90
VDL,246,0.0,568
VDM,151,0.0,95
VEM,69,0.0,90
VG,157,0.0,400
VH,163,0.0,362
VHP,40,0.0,83
VK,255,0.0,568
VL,175,0.0,466
VLB,145,0.0,413
VNDC,140,0.0,361
VNDW,139,0.0,361
VP,88,0.0,96
VRY,152,0.0,414
VS,293,0.0,551
VSS,292,0.0,524
VST,160,0.0,447
VSV,131,0.0,123
VTN,112,0.0,332
VZ,33,0.0,82
WAD,145,0.0,412
WADN,146,0.0,412
WADT,144,0.0,412
WC,122,0.0,350
WD,121,0.0,254
WDN,22,37.83870967741935,12
WF,102,0.0,350
WFM,148,0.0,97
WH,32,0.0,14
WK,151,0.0,34
WL,117,0.0,122
WM,145,0.0,296
WP,115,0.0,26
WR,178,0.0,106
WS,156,0.0,97
WSM,140,0.0,83
WT,213,0.0,465
WTV,97,0.0,99
WV,73,0.0,14
WW,110,0.0,104
WWW,109,0.0,104
WZ,27,0.0,14
YPB,158,0.0,330
ZA,116,0.0,364
ZB,143,0.0,91
ZBM,140,0.0,370
ZD,139,0.0,293
ZDK,142,0.0,296
