Station Code,Distance from DR,Services from/to DR,Disruptions on path to DR
VB,131,0.0,415
VD,25,0.0,0
VDL,168,0.0,475
VDM,193,0.0,171
VEM,17,0.0,0
VG,82,0.0,372
VH,132,0.0,438
VHP,81,0.0,137
VK,177,0.0,475
VL,97,0.0,373
VLB,67,0.0,320
VNDC,85,0.0,313
VNDW,84,0.0,313
VP,10,32.645161290322584,3
VRY,74,0.0,321
VS,220,0.0,746
VSS,219,0.0,746
VST,129,0.0,523
VSV,57,0.0,46
VTN,81,0.0,335
VZ,74,0.0,136
WAD,114,0.0,415
WADN,115,0.0,415
WADT,113,0.0,415
WC,44,24.741935483870968,257
WD,90,0.0,330
WDN,63,0.0,73
WF,24,0.0,257
WFM,190,0.0,173
WH,46,34.41935483870968,76
WK,193,0.0,110
WL,39,0.0,29
WM,128,0.0,820
WP,98,0.0,549
WR,220,0.0,182
WS,198,0.0,173
WSM,182,0.0,159
WT,138,0.0,434
WTV,19,0.0,6
WV,115,0.0,90
WW,58,0.0,14
WWW,57,0.0,14
WZ,69,0.0,90
YPB,127,0.0,415
ZA,38,0.0,271
ZB,185,0.0,167
ZBM,81,0.0,317
ZD,122,0.0,817
ZDK,125,0.0,820
ZH,178,0.0,158
ZL,60,34.41935483870968,76
ZLSH,65,0.0,90
ZLW,136,0.0,726
ZP,13,69.58064516129032,0
ZTM,122,0.0,415
ZTMO,121,0.0,415
ZV,28,0.0,9
ZVB,144,0.0,731
ZVT,139,0.0,834
ZWD,123,0.0,468
ZZS,125,0.0,820
