Station Code,Distance from VP,Services from/to VP,Disruptions on path to VP
MRN,60,0.0,312
MT,156,0.0,459
MTH,185,0.0,172
MTN,159,0.0,461
MTR,157,0.0,461
MZ,121,0.0,446
NDB,79,0.0,539
NH,147,0.0,490
NKK,68,0.0,538
NM,25,31.806451612903224,258
NMD,30,24.70967741935484,279
NMGO,28,24.70967741935484,279
NMH,28,0.0,279
NML,24,31.774193548387096,272
NS,96,0.0,538
NSCH,220,0.0,179
NVD,81,0.0,13
NVP,120,0.0,547
NWK,105,0.0,416
O,49,0.032258064516129,279
OBD,154,0.0,831
ODB,142,0.0,714
ODZ,79,0.0,73
OMN,93,0.0,103
OP,34,0.0,272
OST,49,0.0,72
OT,89,0.0,416
OTB,10,0.0,258
OVN,123,0.0,847
OW,50,0.0,300
PMO,127,0.0,810
PMR,126,0.0,831
PMW,125,0.0,834
PT,75,0.0,538
RAI,98,0.0,334
RAT,88,0.0,96
RB,164,0.0,745
RD,214,0.0,180
RH,4,32.516129032258064,0
RHN,83,0.0,315
RL,45,0.0,8
RLB,124,0.0,566
RM,110,0.0,408
RS,61,0.0,300
RSD,135,0.032258064516129,709
RSN,65,0.0,6
RSW,128,0.0,431
RTA,110,0.0,416
RTB,121,0.0,486
RTD,120,0.0,416
RTN,115,0.0,418
RTST,125,0.0,486
RTZ,124,0.0,486
RV,99,0.0,394
RVS,41,0.0,258
SBK,142,0.0,489
SD,70,0.0,552
SDA,203,0.0,170
SDM,124,0.0,486
SDT,101,0.0,349
SDTB,104,0.0,350
SGL,166,0.0,475
SGN,162,0.0,923
SHL,110,0.0,345
SK,187,0.0,113
SKND,186,0.0,113
SM,105,0.0,408
SN,144,0.0,490
SOG,164,0.0,476
SPTN,128,0.0,847
SPTZ,126,0.0,847
SRN,128,0.0,486
SSH,122,0.0,439
ST,71,0.0,552
STD,135,0.0,457
STM,198,0.0,176
STV,216,0.0,121
STZ,72,0.0,542
SWD,187,0.0,164
SWK,112,0.0,146
TB,90,0.032258064516129,373
TBG,40,0.0,43
TBR,95,0.0,386
TBU,91,0.0,386
TG,92,0.0,375
TL,50,0.0,275
TPSW,52,0.0,275
TWL,44,0.0,72
UHM,211,0.0,180
UHZ,208,0.0,180
UST,203,0.0,179
UT,64,0.0,258
UTG,125,0.0,869
UTLN,66,0.0,356
UTLR,67,0.0,331
UTO,67,0.0,331
UTT,69,0.0,331
UTVR,63,0.0,356
UTZL,66,0.0,331
VB,121,0.0,416
VD,35,0.0,6
VDL,158,0.0,476
VDM,203,0.0,177
VEM,27,0.0,6
VG,72,0.0,373
VH,122,0.0,439
VHP,91,0.0,143
VK,167,0.0,476
VL,87,0.0,374
VLB,57,0.0,321
VNDC,75,0.0,314
VNDW,74,0.0,314
VP,0,0.0,0
VRY,64,0.0,322
VS,210,0.0,741
VSS,209,0.0,714
VST,119,0.0,524
VSV,47,0.0,43
VTN,71,0.0,336
VZ,84,0.0,142
WAD,104,0.0,416
WADN,105,0.0,416
WADT,103,0.0,416
WC,34,24.70967741935484,258
WD,80,0.0,331
WDN,73,0.0,13
WF,14,0.0,258
WFM,200,0.0,179
WH,56,0.0,82
WK,203,0.0,116
WL,29,0.0,26
