Station Code,Distance from HMH,Services from/to HMH,Disruptions on path to HMH
KMW,321,0.0,473
KPN,194,0.0,462
KPNZ,194,0.0,462
KRD,115,0.0,145
KRG,133,0.0,390
KTR,90,0.0,178
KW,293,0.0,536
KZ,143,0.0,490
LAA,144,0.0,618
LC,152,0.0,419
LDL,141,0.0,299
LDM,80,0.0,179
LEDN,142,0.0,306
LG,110,0.0,134
LLS,165,0.0,352
LLZM,137,0.0,293
LP,311,0.0,542
LTN,131,0.0,439
LTV,170,0.0,421
LUT,92,0.0,117
LW,274,0.0,448
LWC,277,0.0,465
MAS,99,0.0,208
MDB,163,0.0,417
MES,115,0.0,119
MG,284,0.0,465
MMLH,88,0.0,116
MP,207,0.0,462
MRB,209,0.0,556
MRN,110,0.0,335
MT,109,0.0,117
MTH,294,0.0,538
MTN,112,0.0,119
MTR,110,0.0,119
MZ,33,0.0,73
NDB,116,0.0,209
NH,100,0.0,148
NKK,124,0.0,448
NM,87,0.0,156
NMD,82,0.0,159
NMGO,84,0.0,160
NMH,90,0.0,177
NML,88,0.0,177
NS,152,0.0,448
NSCH,329,0.0,545
NVD,193,0.0,426
NVP,148,0.0,424
NWK,133,0.0,293
O,63,0.935483870967742,135
OBD,183,0.0,487
ODB,101,0.0,390
ODZ,191,0.0,486
OMN,202,0.0,469
OP,94,0.0,181
OST,161,0.0,485
OT,41,0.0,105
OTB,110,0.0,416
OVN,152,0.0,503
OW,62,0.935483870967742,135
PMO,156,0.0,466
PMR,155,0.0,487
PMW,154,0.0,490
PT,131,0.0,448
RAI,126,0.0,211
RAT,197,0.0,462
RB,123,0.0,421
RD,323,0.0,546
RH,116,0.0,417
RHN,133,0.0,338
RL,157,0.0,421
RLB,113,0.0,601
RM,63,0.0,66
RS,51,0.935483870967742,135
RSD,94,0.0,385
RSN,177,0.0,419
RSW,139,0.0,603
RTA,130,0.0,455
RTB,119,0.0,502
RTD,120,0.0,385
RTN,125,0.0,455
RTST,115,0.0,502
RTZ,116,0.0,385
RV,52,0.0,52
RVS,71,0.0,156
SBK,95,0.0,147
SD,112,0.0,232
SDA,312,0.0,536
SDM,124,0.0,455
SDT,105,0.0,209
SDTB,107,0.0,502
SGL,119,0.0,133
SGN,191,0.0,579
SHL,138,0.0,222
SK,296,0.0,465
SKND,295,0.0,465
SM,58,0.0,66
SN,97,0.0,148
SOG,117,0.0,134
SPTN,157,0.0,503
SPTZ,155,0.0,503
SRN,81,0.0,144
SSH,150,0.0,316
ST,111,0.0,232
STD,88,0.0,115
STM,307,0.0,542
STV,325,0.0,473
STZ,110,0.0,232
SWD,296,0.0,530
SWK,221,0.0,512
TB,49,0.0,62
TBG,142,0.0,453
TBR,54,0.0,75
TBU,50,0.0,75
TG,45,0.0,33
TL,78,0.0,178
TPSW,76,0.0,178
TWL,156,0.0,485
UHM,320,0.0,546
UHZ,317,0.0,546
UST,312,0.0,545
UT,92,0.0,135
UTG,154,0.0,525
UTLN,88,0.0,259
UTLR,95,0.0,208
UTO,95,0.0,208
UTT,97,0.0,208
UTVR,91,0.0,259
UTZL,94,0.0,208
VB,146,0.0,647
VD,147,0.0,419
VDL,111,0.0,134
VDM,312,0.0,543
VEM,139,0.0,419
VG,40,27.90322580645161,105
VH,150,0.0,316
VHP,203,0.0,556
VK,120,0.0,134
VL,40,0.0,32
VLB,66,0.0,84
VNDC,125,0.0,337
VNDW,124,0.0,337
VP,112,0.0,417
VRY,59,0.0,84
VS,169,0.0,417
VSS,168,0.0,390
VST,147,0.0,401
VSV,149,0.0,453
VTN,99,0.0,213
VZ,196,0.0,555
WAD,132,0.0,293
WADN,133,0.0,293
WADT,131,0.0,293
WC,78,0.0,159
WD,108,0.0,208
WDN,185,0.0,426
WF,114,0.0,416
WFM,309,0.0,545
WH,168,0.0,495
WK,312,0.0,468
WL,131,0.0,436
WM,147,0.0,490
WP,125,0.0,220
WR,339,0.0,554
WS,317,0.0,545
WSM,301,0.0,531
WT,40,0.0,62
WTV,111,0.0,418
WV,234,0.0,462
WW,170,0.0,472
WWW,171,0.0,472
WZ,170,0.0,461
YPB,145,0.0,211
ZA,100,0.0,181
ZB,304,0.0,539
ZBM,57,0.0,135
ZD,141,0.0,487
ZDK,144,0.0,490
ZH,297,0.0,530
ZL,179,0.0,448
